Rank,title,AuthorName,Language,Price_normal,Id
1801,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Engelsk,85.59,9781398515703
1802,Until Fountain Bridge,Samantha Young,Engelsk,65.17,9781405914987
1803,Foretold,Jana Oliver,Engelsk,81.8,9781447216087
1804,Wicked King (The Folk of the Air #2),Holly Black,Engelsk,70.1,9781471407376
1805,Deadly Education,Naomi Novik,Engelsk,79.95,9781473577831
1806,Once Upon A Broken Heart,Stephanie Garber,Engelsk,51.19,9781529380958
1807,Heart of Yoga,T. K. V. Desikachar,Engelsk,154.95,9781594778926
1808,Rich Dad Poor Dad,Robert T. Kiyosaki,Engelsk,70.1,9781612680187
1809,Gene Keys,Richard Rudd,Engelsk,129.95,9781780286150
1810,"Chai, Chaat & Chutney",Chetna Makan,Engelsk,9.95,9781784723033
1811,Chetna's Healthy Indian,Chetna Makan,Engelsk,37.2,9781784725921
1812,Chetna's Healthy Indian: Vegetarian,Chetna Makan,Engelsk,69.95,9781784726942
1813,Chetna's 30-minute Indian,Chetna Makan,Engelsk,9.95,9781784727703
1814,What a Time to be Alone,Chidera Eggerue,,81.8,9781787133143
1815,Holiday Read,Cole Taylor Cole,Engelsk,34.99,9781804545324
1816,My Roommate is a Vampire,Jenna Levine,Engelsk,65.17,9781804945414
1817,Tilfældets gud,KIRSTEN THORUP,Dansk,49.95,9788702109115
1818,Ivan Iljitjs død,Lev Tolstoj,Dansk,49.95,9788702133424
1819,Englen fra Viby,Flemming Østergaard,Dansk,84.95,9788702178371
1820,Triggerpunkt-terapi,Amber Davies,Dansk,79.95,9788702189452
1821,Tag dit lys hjem,Pernille Melsted,Dansk,49.95,9788702192902
1822,Happy ending,Anne-Sophie Lunding-Sørensen,Dansk,79.95,9788702196528
1823,Berlinerdage,Klaus Rifbjerg,Dansk,49.95,9788702200478
1824,Faldet,Albert Camus,Dansk,49.95,9788702275407
1825,Pesten,Albert Camus,Dansk,49.95,9788702275414
1826,Eksil og kongedømme,Albert Camus,Dansk,49.95,9788702275438
1827,Den fremmede,Albert Camus,Dansk,49.95,9788702275445
1828,Kalle Blomkvist lever farligt,Astrid Lindgren,Dansk,79.95,9788702286816
1829,Næste!,Nina Lykke,Dansk,129.95,9788702298741
1830,Det kolde guld,Cilla og Rolf Börjlind,Dansk,79.95,9788702306248
1831,Fangeleg,Kim Fupz Aakeson,Dansk,79.95,9788702306293
1832,Løgn i din hals,Lars Kjædegaard,Dansk,79.95,9788702308877
1833,Gode vibrationer – godt liv,Vex King,Dansk,129.95,9788702325348
1834,Den barmhjertige samaritaner,Cilla og Rolf Börjlind,Dansk,79.95,9788702345674
1835,Danske jøders liv og død i Theresienstadt,Silvia Goldbaum Tarabini,Dansk,129.95,9788702369717
